time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
18.0;17.1;0;0;4;9;2023;0;0;422.759;422.759
19.0;16.8;0;0;4;9;2023;0;0;422.759;422.759
20.0;17.3;0;0;4;9;2023;0;0;422.759;422.759
21.0;16.7;0;0;4;9;2023;0;0;422.759;422.759
22.0;16.3;0;0;4;9;2023;0;0;422.759;422.759
23.0;15.9;0;0;4;9;2023;0;0;422.759;422.759
0.0;15.7;0;0;4;9;2023;0;0;422.759;422.759
1.0;16.1;0;0;4;9;2023;0;0;422.759;422.759
2.0;17.2;0;0;4;9;2023;0;0;422.759;422.759
3.0;18.5;0;0;4;9;2023;0;0;422.759;422.759
4.0;20.4;0;0;4;9;2023;0;0;422.759;422.759
5.0;21.3;0;0;4;9;2023;0;0;422.759;422.759
6.0;22.9;0;0;5;9;2023;0;1;422.759;422.759
7.0;24.4;0;0;5;9;2023;0;1;422.759;422.759
8.0;25.4;0;0;5;9;2023;0;1;422.759;422.759
9.0;25.7;0;0;5;9;2023;0;1;422.759;422.759
10.0;25.2;0;0;5;9;2023;0;1;422.759;422.759
11.0;23.1;0;0;5;9;2023;0;1;422.759;422.759
12.0;21.3;0;0;5;9;2023;0;1;422.759;422.759
13.0;18.8;0;0;5;9;2023;0;1;422.759;422.759
14.0;18.0;0;0;5;9;2023;0;1;422.759;422.759
15.0;17.5;0;0;5;9;2023;0;1;422.759;422.759
16.0;17.0;0;0;5;9;2023;0;1;422.759;422.759
17.0;16.7;0;0;5;9;2023;0;1;422.759;422.759
