time;target;date
0;481.51;01.01.2019
1;462.872;01.01.2019
2;449.718;01.01.2019
3;430.908;01.01.2019
4;415.163;01.01.2019
5;403.195;01.01.2019
6;398.173;01.01.2019
7;402.689;01.01.2019
8;407.094;01.01.2019
9;414.565;01.01.2019
10;420.905;01.01.2019
11;447.558;01.01.2019
12;469.802;01.01.2019
13;480.681;01.01.2019
14;481.156;01.01.2019
15;480.863;01.01.2019
16;482.463;01.01.2019
17;502.226;01.01.2019
18;524.691;01.01.2019
19;525.338;01.01.2019
20;522.61;01.01.2019
21;517.606;01.01.2019
22;512.28;01.01.2019
23;492.8;01.01.2019
0;465.381;02.01.2019
1;437.692;02.01.2019
2;416.416;02.01.2019
3;401.808;02.01.2019
4;394.554;02.01.2019
5;391.375;02.01.2019
6;392.51;02.01.2019
7;405.998;02.01.2019
8;424.891;02.01.2019
9;450.377;02.01.2019
10;475.445;02.01.2019
11;509.816;02.01.2019
12;526.491;02.01.2019
13;525.171;02.01.2019
14;521.867;02.01.2019
15;520.315;02.01.2019
16;525.992;02.01.2019
17;538.607;02.01.2019
18;556.317;02.01.2019
19;547.679;02.01.2019
20;542.323;02.01.2019
21;539.041;02.01.2019
22;528.386;02.01.2019
23;508.758;02.01.2019
0;479.831;03.01.2019
1;450.047;03.01.2019
2;428.649;03.01.2019
3;415.287;03.01.2019
4;406.705;03.01.2019
5;404.198;03.01.2019
6;412.379;03.01.2019
7;427.568;03.01.2019
8;455.493;03.01.2019
9;488.607;03.01.2019
10;518.654;03.01.2019
11;550.468;03.01.2019
12;562.022;03.01.2019
13;559.561;03.01.2019
14;556.841;03.01.2019
15;553.016;03.01.2019
16;551.865;03.01.2019
17;566.031;03.01.2019
18;596.467;03.01.2019
19;593.502;03.01.2019
20;583.89;03.01.2019
21;574.923;03.01.2019
22;560.805;03.01.2019
23;538.755;03.01.2019
0;506.119;04.01.2019
1;473.726;04.01.2019
2;449.395;04.01.2019
3;435.532;04.01.2019
4;427.882;04.01.2019
5;426.407;04.01.2019
6;433.644;04.01.2019
7;449.355;04.01.2019
8;477.349;04.01.2019
9;518.861;04.01.2019
10;550.57;04.01.2019
11;581.451;04.01.2019
12;593.408;04.01.2019
13;589.397;04.01.2019
14;584.555;04.01.2019
15;580.159;04.01.2019
16;577.593;04.01.2019
17;591.67;04.01.2019
18;611.004;04.01.2019
19;605.73;04.01.2019
20;595.028;04.01.2019
21;586.155;04.01.2019
22;571.615;04.01.2019
23;546.439;04.01.2019
0;514.853;05.01.2019
1;481.142;05.01.2019
2;454.754;05.01.2019
3;440.151;05.01.2019
4;432.254;05.01.2019
5;428.926;05.01.2019
6;431.34;05.01.2019
7;444.717;05.01.2019
8;469.888;05.01.2019
9;503.824;05.01.2019
10;533.122;05.01.2019
11;565.424;05.01.2019
12;579.819;05.01.2019
13;581.549;05.01.2019
14;580.582;05.01.2019
15;580.592;05.01.2019
16;582.877;05.01.2019
17;599.62;05.01.2019
18;612.847;05.01.2019
19;609.084;05.01.2019
20;597.462;05.01.2019
21;586.569;05.01.2019
22;574.002;05.01.2019
23;549.747;05.01.2019
0;518.851;06.01.2019
1;487.836;06.01.2019
2;463.039;06.01.2019
3;446.956;06.01.2019
4;438.879;06.01.2019
5;435.766;06.01.2019
6;441.252;06.01.2019
7;455.889;06.01.2019
8;476.991;06.01.2019
9;506.962;06.01.2019
10;535.603;06.01.2019
11;566.499;06.01.2019
12;576.889;06.01.2019
13;575.282;06.01.2019
14;570.88;06.01.2019
15;568.857;06.01.2019
16;567.818;06.01.2019
17;584.424;06.01.2019
18;615.803;06.01.2019
19;610.037;06.01.2019
20;595.185;06.01.2019
21;584.211;06.01.2019
22;569.967;06.01.2019
23;550.543;06.01.2019
0;523.761;07.01.2019
1;494.211;07.01.2019
2;470.672;07.01.2019
3;455.73;07.01.2019
4;444.84;07.01.2019
